visitorid,ses_rec,ses_rec_avg,ses_rec_sd,ses_rec_cv,user_rec,ses_n,int_n,int_n_r,tran_n,tran_n_r,rev_sum,rev_sum_r,target_class
89,23,16,0,0,39,2,3,1.5,0,0,0,0,1
251,23,61,0,0,85,2,2,1,0,0,0,0,1
270,14,0.1,0.3,3,21,11,13,1.1818181,0,0,0,0,1
298,11,13,0,0,24,2,4,2,0,0,0,0,1
474,16,26,0,0,43,2,2,1,0,0,0,0,1
656,21,3,0,0,24,2,2,1,0,0,0,0,1
724,26,6.3333335,6.9442225,1.0964562,47,4,13,3.25,0,0,0,0,0
1163,16,5,0,0,22,2,2,1,0,0,0,0,1
1288,10,4,0,0,14,2,2,1,0,0,0,0,1
1312,8,0,0,-1,8,2,2,1,0,0,0,0,1
1432,26,11.5,11.5,1,49,3,6,2,0,0,0,0,1
1478,28,0,0,-1,29,2,2,1,0,0,0,0,1
1715,18,0,0,-1,19,2,3,1.5,0,0,0,0,1
2137,1,90,0,0,92,2,2,1,0,0,0,0,1
2159,4,7,0,0,12,2,2,1,0,0,0,0,1
2331,21,20,0,0,41,2,3,1.5,0,0,0,0,1
2336,20,0,0,-1,20,2,2,1,0,0,0,0,1
2656,5,0.037037037,0.18885258,5.0990195,17,28,38,1.3571428,0,0,0,0,1
2866,0,22,0,0,23,2,3,1.5,0,0,0,0,0
2970,24,18.5,15.5,0.8378378,62,3,6,2,0,0,0,0,1
3002,25,5.3333335,7.5424724,1.4142135,43,4,6,1.5,0,0,0,0,1
3033,27,7,0,0,35,2,2,1,0,0,0,0,1
3404,11,3,3,1,18,3,8,2.6666667,1,0.33333334,41400,13800,1
3411,6,0,0,-1,7,2,4,2,0,0,0,0,0
3477,27,16.5,16.5,1,60,3,4,1.3333334,0,0,0,0,1
3817,28,5,0,0,34,2,2,1,0,0,0,0,1
4256,2,1,1,1,4,3,11,3.6666667,0,0,0,0,1
5167,24,34,0,0,59,2,2,1,0,0,0,0,1
5703,21,0,0,-1,21,3,10,3.3333333,2,0.6666667,47520,15840,1
6660,4,0,0,-1,4,2,3,1.5,0,0,0,0,1
6855,20,0,0,-1,20,2,4,2,1,0.5,43080,21540,1
6879,12,0,0,-1,12,2,2,1,0,0,0,0,1
7625,0,9.5,9.5,1,20,3,7,2.3333333,0,0,0,0,1
8306,9,1,0,0,10,2,2,1,0,0,0,0,1
8316,1,12,23.622025,1.9685019,87,8,10,1.25,0,0,0,0,0
8540,15,1.25,1.6393596,1.3114877,22,5,12,2.4,0,0,0,0,0
8914,13,8.1,10.182829,1.2571393,97,11,18,1.6363636,1,0.09090909,29400,2672.7273,1
8929,27,3.6666667,5.1854496,1.4142135,38,4,7,1.75,0,0,0,0,1
8988,5,2,0,0,7,2,3,1.5,0,0,0,0,1
9021,14,20,19.962465,0.9981232,96,5,5,1,0,0,0,0,1
9049,25,0,0,-1,25,2,3,1.5,0,0,0,0,1
9140,20,0,0,-1,20,2,2,1,0,0,0,0,1
